tempo_s;distancia_m
542;3332.64
543;3332.64
544;3332.64
545;3332.64
546;3332.64
547;3332.64
548;3332.71
549;3333.22
550;3334.19
551;3335.75
552;3337.96
553;3340.88
554;3344.51
555;3348.87
556;3353.95
557;3359.74
558;3366.21
559;3373.24
560;3380.79
561;3388.21
562;3394.93
563;3400.55
564;3405.09
565;3408.58
566;3411.06
567;3412.63
568;3413.41
569;3413.67
570;3413.71
571;3413.71
572;3413.71
573;3413.71
574;3413.71
575;3413.71
576;3413.71
577;3413.71
578;3413.71
579;3413.71
580;3413.78
581;3414.27
582;3415.22
583;3416.7
584;3418.8
585;3421.58
586;3425.07
587;3429.28
588;3434.22
589;3439.88
590;3446.21
591;3453.18
592;3460.74
593;3468.85
594;3477.45
595;3486.49
596;3495.93
597;3504.15
598;3510.95
599;3518.16
600;3525.94
601;3534.24
602;3543.02
603;3552.23
604;3561.8
605;3571.71
606;3581.91
607;3592.35
608;3603.02
609;3612.4
610;3620.93
611;3628.87
612;3635.68
613;3641.38
614;3646
615;3649.57
616;3652.13
617;3653.76
618;3654.59
619;3654.88
620;3654.93
621;3654.93
622;3654.93
623;3654.93
624;3654.93
625;3654.93
626;3654.93
627;3654.93
628;3654.93
629;3654.93
630;3654.93
631;3654.93
632;3654.93
633;3654.93
634;3654.93
635;3654.93
636;3654.93
637;3654.93
638;3654.93
639;3654.93
640;3654.93
641;3654.93
642;3654.93
643;3654.93
644;3655.22
645;3655.9
646;3657.08
647;3658.84
648;3661.24
649;3664.33
650;3668.15
651;3672.7
652;3677.96
653;3683.93
654;3690.55
655;3697.8
656;3705.62
657;3713.96
658;3722.76
659;3731.99
660;3741.59
661;3751.52
662;3761.73
663;3772.19
664;3782.87
665;3793.74
666;3804.77
667;3815.92
668;3826.49
669;3835.92
670;3844.22
671;3851.39
672;3857.45
673;3862.42
674;3866.33
675;3869.21
676;3871.13
677;3872.2
678;3872.64
679;3872.73
680;3872.74
681;3872.74
682;3872.74
683;3872.74
684;3872.74
685;3872.74
686;3872.74
687;3872.74
688;3872.74
689;3872.74
690;3872.74
691;3872.81
692;3873.3
693;3874.24
694;3875.73
695;3877.83
696;3880.61
697;3884.09
698;3888.31
699;3893.25
700;3898.9
701;3905.23
702;3912.21
703;3919.77
704;3927.88
705;3936.48
706;3945.52
707;3954.96
708;3964.74
709;3974.83
710;3985.18
711;3995.77
712;4006.55
713;4017.51
714;4028.62
715;4039.85
716;4051.19
717;4062.62
718;4074.13
719;4085.71
720;4097.35
721;4108.45
722;4118.43
723;4127.28
724;4135
725;4141.61
726;4147.11
727;4151.53
728;4154.91
729;4157.29
730;4158.76
731;4159.47
732;4159.69
733;4159.72
734;4159.72
735;4159.72
736;4159.72
737;4159.72
738;4159.72
739;4159.72
740;4159.72
741;4159.72
742;4159.72
743;4159.72
744;4160.01
745;4160.69
746;4161.87
747;4163.63
748;4166.03
749;4169.12
750;4172.94
751;4177.49
752;4182.75
753;4188.72
754;4195.34
755;4202.59
756;4210.41
757;4218.75
758;4227.55
759;4236.78
760;4246.38
761;4256
762;4265.05
763;4272.97
764;4279.77
765;4285.47
766;4290.08
767;4293.64
768;4296.2
769;4297.82
770;4298.65
771;4298.94
772;4298.98
773;4298.98
774;4298.98
775;4298.98
776;4298.98
777;4298.98
778;4298.98
779;4298.98
780;4298.98
781;4298.98
782;4298.98
783;4299.06
784;4299.55
785;4300.49
786;4301.98
787;4304.08
788;4306.85
789;4310.34
790;4314.56
791;4319.5
792;4325.15
793;4331.48
794;4338.45
795;4346.02
796;4354.12
797;4362.73
798;4371.77
799;4381.21
800;4390.99
801;4401.08
802;4411.43
803;4422.02
804;4432.8
805;4443.76
806;4454.86
807;4466.09
808;4477.43
809;4488.87
810;4500.38
811;4511.96
812;4523.6
813;4535.28
814;4547.01
815;4558.77
816;4570.56
817;4582.38
818;4594.22
819;4606.07
820;4617.94
821;4629.77
822;4640.99
823;4651.06
824;4659.99
825;4667.8
826;4674.48
827;4680.06
828;4684.56
829;4688.02
830;4690.47
831;4692
832;4692.76
833;4693
834;4693.04
835;4693.04
836;4693.04
837;4693.04
838;4693.04
839;4693.04
840;4693.04
841;4693.04
842;4693.04
843;4693.04
844;4693.04
845;4693.11
846;4693.61
847;4694.55
848;4696.03
849;4698.13
850;4700.22
851;4701.84
852;4702.67
853;4702.95
854;4703
855;4703
856;4703
857;4703
858;4703
859;4703
860;4703
861;4703.29
862;4703.97
863;4705.15
864;4706.9
865;4709.31
866;4712.4
867;4716.22
868;4720.76
869;4726.03
870;4732
871;4738.62
872;4745.87
873;4753.69
874;4762.02
875;4770.83
876;4780.06
877;4789.66
878;4799.59
879;4809.8
880;4820.26
881;4830.94
882;4841.81
883;4852.83
884;4864
885;4875.28
886;4886.67
887;4898.14
888;4908.22
889;4917.36
890;4926.18
891;4934.12
892;4940.94
893;4946.65
894;4951.29
895;4954.86
896;4957.43
897;4959.07
898;4959.91
899;4960.2
900;4960.25
901;4960.25
902;4960.26
903;4960.26
904;4960.26
905;4960.26
906;4960.26
907;4960.26
908;4960.26
909;4960.26
910;4960.26
911;4960.33
912;4960.82
913;4961.76
914;4963.25
915;4965.35
916;4968.12
917;4971.61
918;4975.83
919;4980.77
920;4986.42
921;4992.75
922;4999.72
923;5007.29
924;5015.39
925;5024
926;5033.04
927;5042.48
928;5052.26
929;5062.35
930;5072.7
931;5083.29
932;5094.07
933;5105.03
934;5116.13
935;5127.37
936;5138.71
937;5150.14
938;5161.65
939;5173.23
940;5184.87
941;5196.55
942;5208.28
943;5220.04
944;5231.83
945;5243.65
946;5255.49
947;5267.34
948;5279.21
949;5291.1
950;5302.99
951;5314.9
952;5326.81
953;5338.3
954;5348.8
955;5358.16
956;5366.39
957;5373.49
958;5379.48
959;5384.39
960;5388.23
961;5391.05
962;5392.91
963;5393.93
964;5394.34
965;5394.42
966;5394.43
967;5394.43
968;5394.43
969;5394.43
970;5394.72
971;5395.4
972;5396.58
973;5398.33
974;5400.74
975;5403.83
976;5407.65
977;5412.2
978;5417.46
979;5423.43
980;5430.05
981;5436.87
982;5443.13
983;5448.28
984;5452.36
985;5455.41
986;5457.49
987;5458.69
988;5459.21
989;5459.34
990;5459.36
991;5459.36
992;5459.36
993;5459.36
994;5459.36
995;5459.36
996;5459.36
997;5459.36
998;5459.36
999;5459.36
1000;5459.43
1001;5459.92
1002;5460.86
1003;5462.35
1004;5464.45
1005;5467.22
1006;5470.71
1007;5474.93
1008;5479.87
1009;5485.52
1010;5491.85
1011;5498.82
1012;5506.39
1013;5514.49
1014;5523.1
1015;5532.14
1016;5541.58
1017;5550.82
1018;5559.3
1019;5566.66
1020;5572.91
1021;5578.06
1022;5582.14
1023;5585.19
1024;5587.27
1025;5588.47
1026;5588.99
1027;5589.12
1028;5589.13
1029;5589.13
1030;5589.13
1031;5589.13
1032;5589.13
1033;5589.13
1034;5589.13
1035;5589.13
1036;5589.13
1037;5589.13
1038;5589.13
1039;5589.13
1040;5589.25
1041;5589.31
1042;5589.31
1043;5589.31
1044;5589.31
1045;5589.31
1046;5589.31
1047;5589.6
1048;5590.29
1049;5591.46
1050;5593.22
1051;5595.62
1052;5598.72
1053;5602.53
1054;5607.08
1055;5612.35
1056;5618.31
1057;5624.94
1058;5632.18
1059;5640
1060;5648.34
1061;5657.15
1062;5666.37
1063;5675.97
1064;5685.9
1065;5696.11
1066;5706.58
1067;5717.06
1068;5727.56
1069;5738.07
1070;5748.8
1071;5759.7
1072;5770.35
1073;5780.97
1074;5790.4
1075;5799.11
1076;5806.46
1077;5813.11
1078;5820.38
1079;5828.22
1080;5836.58
1081;5845.41
1082;5854.65
1083;5864.26
1084;5874.2
1085;5884.39
1086;5894.79
1087;5905.41
1088;5916.23
1089;5927.22
1090;5938.35
1091;5949.6
1092;5960.96
1093;5972.41
1094;5983.94
1095;5995.53
1096;6007.17
1097;6018.87
1098;6030.6
1099;6042.37
1100;6054.16
1101;6065.98
1102;6077.83
1103;6089.69
1104;6101.56
1105;6113.45
1106;6125.34
1107;6137.25
1108;6149.16
